
# Surface 0 of 1 surfaces

# Curve title: "x*(log2(log2(y)))"

# IsoCurve 0, 20 points
# x y z type
2.1052632e+02 2.6315789e+02 6.3308566e+02 i
2.6315789e+02 2.6315789e+02 7.9135708e+02 i
3.1578947e+02 2.6315789e+02 9.4962849e+02 i
3.6842105e+02 2.6315789e+02 1.1078999e+03 i
4.2105263e+02 2.6315789e+02 1.2661713e+03 i
4.7368421e+02 2.6315789e+02 1.4244427e+03 i
5.2631579e+02 2.6315789e+02 1.5827142e+03 i
5.7894737e+02 2.6315789e+02 1.7409856e+03 i
6.3157895e+02 2.6315789e+02 1.8992570e+03 i
6.8421053e+02 2.6315789e+02 2.0575284e+03 i
7.3684211e+02 2.6315789e+02 2.2157998e+03 i
7.8947368e+02 2.6315789e+02 2.3740712e+03 i
8.4210526e+02 2.6315789e+02 2.5323427e+03 i
8.9473684e+02 2.6315789e+02 2.6906141e+03 i
9.4736842e+02 2.6315789e+02 2.8488855e+03 i
1.0000000e+03 2.6315789e+02 3.0071569e+03 i

# IsoCurve 6, 20 points
# x y z type
0.0000000e+00 3.1578947e+02 0.0000000e+00 i
5.2631579e+01 3.1578947e+02 1.6071586e+02 i
1.0526316e+02 3.1578947e+02 3.2143172e+02 i
1.5789474e+02 3.1578947e+02 4.8214757e+02 i
2.1052632e+02 3.1578947e+02 6.4286343e+02 i
2.6315789e+02 3.1578947e+02 8.0357929e+02 i
3.1578947e+02 3.1578947e+02 9.6429515e+02 i
3.6842105e+02 3.1578947e+02 1.1250110e+03 i
4.2105263e+02 3.1578947e+02 1.2857269e+03 i
4.7368421e+02 3.1578947e+02 1.4464427e+03 i
5.2631579e+02 3.1578947e+02 1.6071586e+03 i
5.7894737e+02 3.1578947e+02 1.7678744e+03 i
6.3157895e+02 3.1578947e+02 1.9285903e+03 i
6.8421053e+02 3.1578947e+02 2.0893061e+03 i
7.3684211e+02 3.1578947e+02 2.2500220e+03 i
7.8947368e+02 3.1578947e+02 2.4107379e+03 i
8.4210526e+02 3.1578947e+02 2.5714537e+03 i
8.9473684e+02 3.1578947e+02 2.7321696e+03 i
9.4736842e+02 3.1578947e+02 2.8928854e+03 i
1.0000000e+03 3.1578947e+02 3.0536013e+03 i

# IsoCurve 7, 20 points
# x y z type
0.0000000e+00 3.6842105e+02 0.0000000e+00 i
5.2631579e+01 3.6842105e+02 1.6272293e+02 i
1.0526316e+02 3.6842105e+02 3.2544586e+02 i
1.5789474e+02 3.6842105e+02 4.8816879e+02 i
2.1052632e+02 3.6842105e+02 6.5089172e+02 i
2.6315789e+02 3.6842105e+02 8.1361465e+02 i
3.1578947e+02 3.6842105e+02 9.7633758e+02 i
3.6842105e+02 3.6842105e+02 1.1390605e+03 i
4.2105263e+02 3.6842105e+02 1.3017834e+03 i
4.7368421e+02 3.6842105e+02 1.4645064e+03 i
5.2631579e+02 3.6842105e+02 1.6272293e+03 i
5.7894737e+02 3.6842105e+02 1.7899522e+03 i
6.3157895e+02 3.6842105e+02 1.9526752e+03 i
6.8421053e+02 3.6842105e+02 2.1153981e+03 i
7.3684211e+02 3.6842105e+02 2.2781210e+03 i
7.8947368e+02 3.6842105e+02 2.4408439e+03 i
8.4210526e+02 3.6842105e+02 2.6035669e+03 i
8.9473684e+02 3.6842105e+02 2.7662898e+03 i
9.4736842e+02 3.6842105e+02 2.9290127e+03 i
1.0000000e+03 3.6842105e+02 3.0917357e+03 i

# IsoCurve 8, 20 points
# x y z type
0.0000000e+00 4.2105263e+02 0.0000000e+00 i
5.2631579e+01 4.2105263e+02 1.6441966e+02 i
1.0526316e+02 4.2105263e+02 3.2883932e+02 i
1.5789474e+02 4.2105263e+02 4.9325897e+02 i
2.1052632e+02 4.2105263e+02 6.5767863e+02 i
2.6315789e+02 4.2105263e+02 8.2209829e+02 i
3.1578947e+02 4.2105263e+02 9.8651795e+02 i
3.6842105e+02 4.2105263e+02 1.1509376e+03 i
4.2105263e+02 4.2105263e+02 1.3153573e+03 i
4.7368421e+02 4.2105263e+02 1.4797769e+03 i
5.2631579e+02 4.2105263e+02 1.6441966e+03 i
5.7894737e+02 4.2105263e+02 1.8086162e+03 i
6.3157895e+02 4.2105263e+02 1.9730359e+03 i
6.8421053e+02 4.2105263e+02 2.1374556e+03 i
7.3684211e+02 4.2105263e+02 2.3018752e+03 i
7.8947368e+02 4.2105263e+02 2.4662949e+03 i
8.4210526e+02 4.2105263e+02 2.6307145e+03 i
8.9473684e+02 4.2105263e+02 2.7951342e+03 i
9.4736842e+02 4.2105263e+02 2.9595538e+03 i
1.0000000e+03 4.2105263e+02 3.1239735e+03 i

# IsoCurve 9, 20 points
# x y z type
0.0000000e+00 4.7368421e+02 0.0000000e+00 i
5.2631579e+01 4.7368421e+02 1.6588544e+02 i
1.0526316e+02 4.7368421e+02 3.3177088e+02 i
1.5789474e+02 4.7368421e+02 4.9765633e+02 i
2.1052632e+02 4.7368421e+02 6.6354177e+02 i
2.6315789e+02 4.7368421e+02 8.2942721e+02 i
3.1578947e+02 4.7368421e+02 9.9531265e+02 i
3.6842105e+02 4.7368421e+02 1.1611981e+03 i
4.2105263e+02 4.7368421e+02 1.3270835e+03 i
4.7368421e+02 4.7368421e+02 1.4929690e+03 i
5.2631579e+02 4.7368421e+02 1.6588544e+03 i
5.7894737e+02 4.7368421e+02 1.8247399e+03 i
6.3157895e+02 4.7368421e+02 1.9906253e+03 i
6.8421053e+02 4.7368421e+02 2.1565107e+03 i
7.3684211e+02 4.7368421e+02 2.3223962e+03 i
7.8947368e+02 4.7368421e+02 2.4882816e+03 i
8.4210526e+02 4.7368421e+02 2.6541671e+03 i
8.9473684e+02 4.7368421e+02 2.8200525e+03 i
9.4736842e+02 4.7368421e+02 2.9859380e+03 i
1.0000000e+03 4.7368421e+02 3.1518234e+03 i

# IsoCurve 10, 20 points
# x y z type
0.0000000e+00 5.2631579e+02 0.0000000e+00 i
5.2631579e+01 5.2631579e+02 1.6717308e+02 i
1.0526316e+02 5.2631579e+02 3.3434615e+02 i
1.5789474e+02 5.2631579e+02 5.0151923e+02 i
2.1052632e+02 5.2631579e+02 6.6869230e+02 i
2.6315789e+02 5.2631579e+02 8.3586538e+02 i
3.1578947e+02 5.2631579e+02 1.0030385e+03 i
3.6842105e+02 5.2631579e+02 1.1702115e+03 i
4.2105263e+02 5.2631579e+02 1.3373846e+03 i
4.7368421e+02 5.2631579e+02 1.5045577e+03 i
5.2631579e+02 5.2631579e+02 1.6717308e+03 i
5.7894737e+02 5.2631579e+02 1.8389038e+03 i
6.3157895e+02 5.2631579e+02 2.0060769e+03 i
6.8421053e+02 5.2631579e+02 2.1732500e+03 i
7.3684211e+02 5.2631579e+02 2.3404231e+03 i
7.8947368e+02 5.2631579e+02 2.5075961e+03 i
8.4210526e+02 5.2631579e+02 2.6747692e+03 i
8.9473684e+02 5.2631579e+02 2.8419423e+03 i
9.4736842e+02 5.2631579e+02 3.0091154e+03 i
1.0000000e+03 5.2631579e+02 3.1762884e+03 i

# IsoCurve 11, 20 points
# x y z type
0.0000000e+00 5.7894737e+02 0.0000000e+00 i
5.2631579e+01 5.7894737e+02 1.6831937e+02 i
1.0526316e+02 5.7894737e+02 3.3663873e+02 i
1.5789474e+02 5.7894737e+02 5.0495810e+02 i
2.1052632e+02 5.7894737e+02 6.7327746e+02 i
2.6315789e+02 5.7894737e+02 8.4159683e+02 i
3.1578947e+02 5.7894737e+02 1.0099162e+03 i
3.6842105e+02 5.7894737e+02 1.1782356e+03 i
4.2105263e+02 5.7894737e+02 1.3465549e+03 i
4.7368421e+02 5.7894737e+02 1.5148743e+03 i
5.2631579e+02 5.7894737e+02 1.6831937e+03 i
5.7894737e+02 5.7894737e+02 1.8515130e+03 i
6.3157895e+02 5.7894737e+02 2.0198324e+03 i
6.8421053e+02 5.7894737e+02 2.1881518e+03 i
7.3684211e+02 5.7894737e+02 2.3564711e+03 i
7.8947368e+02 5.7894737e+02 2.5247905e+03 i
8.4210526e+02 5.7894737e+02 2.6931098e+03 i
8.9473684e+02 5.7894737e+02 2.8614292e+03 i
9.4736842e+02 5.7894737e+02 3.0297486e+03 i
1.0000000e+03 5.7894737e+02 3.1980679e+03 i

# IsoCurve 12, 20 points
# x y z type
0.0000000e+00 6.3157895e+02 0.0000000e+00 i
5.2631579e+01 6.3157895e+02 1.6935095e+02 i
1.0526316e+02 6.3157895e+02 3.3870189e+02 i
1.5789474e+02 6.3157895e+02 5.0805284e+02 i
2.1052632e+02 6.3157895e+02 6.7740379e+02 i
2.6315789e+02 6.3157895e+02 8.4675474e+02 i
3.1578947e+02 6.3157895e+02 1.0161057e+03 i
3.6842105e+02 6.3157895e+02 1.1854566e+03 i
4.2105263e+02 6.3157895e+02 1.3548076e+03 i
4.7368421e+02 6.3157895e+02 1.5241585e+03 i
5.2631579e+02 6.3157895e+02 1.6935095e+03 i
5.7894737e+02 6.3157895e+02 1.8628604e+03 i
6.3157895e+02 6.3157895e+02 2.0322114e+03 i
6.8421053e+02 6.3157895e+02 2.2015623e+03 i
7.3684211e+02 6.3157895e+02 2.3709133e+03 i
7.8947368e+02 6.3157895e+02 2.5402642e+03 i
8.4210526e+02 6.3157895e+02 2.7096152e+03 i
8.9473684e+02 6.3157895e+02 2.8789661e+03 i
9.4736842e+02 6.3157895e+02 3.0483171e+03 i
1.0000000e+03 6.3157895e+02 3.2176680e+03 i

# IsoCurve 13, 20 points
# x y z type
0.0000000e+00 6.8421053e+02 0.0000000e+00 i
5.2631579e+01 6.8421053e+02 1.7028769e+02 i
1.0526316e+02 6.8421053e+02 3.4057538e+02 i
1.5789474e+02 6.8421053e+02 5.1086307e+02 i
2.1052632e+02 6.8421053e+02 6.8115077e+02 i
2.6315789e+02 6.8421053e+02 8.5143846e+02 i
3.1578947e+02 6.8421053e+02 1.0217261e+03 i
3.6842105e+02 6.8421053e+02 1.1920138e+03 i
4.2105263e+02 6.8421053e+02 1.3623015e+03 i
4.7368421e+02 6.8421053e+02 1.5325892e+03 i
5.2631579e+02 6.8421053e+02 1.7028769e+03 i
5.7894737e+02 6.8421053e+02 1.8731646e+03 i
6.3157895e+02 6.8421053e+02 2.0434523e+03 i
6.8421053e+02 6.8421053e+02 2.2137400e+03 i
7.3684211e+02 6.8421053e+02 2.3840277e+03 i
7.8947368e+02 6.8421053e+02 2.5543154e+03 i
8.4210526e+02 6.8421053e+02 2.7246031e+03 i
